id,mode,recommended_amount,pnl,maxdd,sharpe,win_rate,strategy_name,ltf_interval,created_at,raw_row
1,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:09:51.809068,"{'trial_id': 1, 'number': 0, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:09:51.809068', 'datetime_complete': '2025-09-28 04:09:54.585703'}"
2,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:09:54.597493,"{'trial_id': 2, 'number': 1, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:09:54.597493', 'datetime_complete': '2025-09-28 04:09:57.227250'}"
3,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:09:57.237798,"{'trial_id': 3, 'number': 2, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:09:57.237798', 'datetime_complete': '2025-09-28 04:09:59.991819'}"
4,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:00.003049,"{'trial_id': 4, 'number': 3, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:00.003049', 'datetime_complete': '2025-09-28 04:10:02.732607'}"
5,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:02.744657,"{'trial_id': 5, 'number': 4, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:02.744657', 'datetime_complete': '2025-09-28 04:10:05.393422'}"
6,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:05.404453,"{'trial_id': 6, 'number': 5, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:05.404453', 'datetime_complete': '2025-09-28 04:10:08.129104'}"
7,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:08.141464,"{'trial_id': 7, 'number': 6, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:08.141464', 'datetime_complete': '2025-09-28 04:10:10.915522'}"
8,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:10.926881,"{'trial_id': 8, 'number': 7, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:10.926881', 'datetime_complete': '2025-09-28 04:10:13.850600'}"
9,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:13.862677,"{'trial_id': 9, 'number': 8, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:13.862677', 'datetime_complete': '2025-09-28 04:10:16.687357'}"
10,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:16.699636,"{'trial_id': 10, 'number': 9, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:16.699636', 'datetime_complete': '2025-09-28 04:10:19.430831'}"
11,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:19.441681,"{'trial_id': 11, 'number': 10, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:19.441681', 'datetime_complete': '2025-09-28 04:10:22.112713'}"
12,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:22.123333,"{'trial_id': 12, 'number': 11, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:22.123333', 'datetime_complete': '2025-09-28 04:10:24.839400'}"
13,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:24.850162,"{'trial_id': 13, 'number': 12, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:24.850162', 'datetime_complete': '2025-09-28 04:10:27.678164'}"
14,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:27.689231,"{'trial_id': 14, 'number': 13, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:27.689231', 'datetime_complete': '2025-09-28 04:10:30.384643'}"
15,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:30.397518,"{'trial_id': 15, 'number': 14, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:30.397518', 'datetime_complete': '2025-09-28 04:10:33.159514'}"
16,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:33.173827,"{'trial_id': 16, 'number': 15, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:33.173827', 'datetime_complete': '2025-09-28 04:10:35.862637'}"
17,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:35.872045,"{'trial_id': 17, 'number': 16, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:35.872045', 'datetime_complete': '2025-09-28 04:10:38.573042'}"
18,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:38.582302,"{'trial_id': 18, 'number': 17, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:38.582302', 'datetime_complete': '2025-09-28 04:10:41.296061'}"
19,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:41.306503,"{'trial_id': 19, 'number': 18, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:41.306503', 'datetime_complete': '2025-09-28 04:10:44.039371'}"
20,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:44.052165,"{'trial_id': 20, 'number': 19, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:44.052165', 'datetime_complete': '2025-09-28 04:10:46.736426'}"
21,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:46.748902,"{'trial_id': 21, 'number': 20, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:46.748902', 'datetime_complete': '2025-09-28 04:10:49.424337'}"
22,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:49.437648,"{'trial_id': 22, 'number': 21, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:49.437648', 'datetime_complete': '2025-09-28 04:10:52.123996'}"
23,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:52.135418,"{'trial_id': 23, 'number': 22, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:52.135418', 'datetime_complete': '2025-09-28 04:10:54.881423'}"
24,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:54.892764,"{'trial_id': 24, 'number': 23, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:54.892764', 'datetime_complete': '2025-09-28 04:10:57.565046'}"
25,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:10:57.576938,"{'trial_id': 25, 'number': 24, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:10:57.576938', 'datetime_complete': '2025-09-28 04:11:00.242211'}"
26,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:00.252426,"{'trial_id': 26, 'number': 25, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:00.252426', 'datetime_complete': '2025-09-28 04:11:03.017165'}"
27,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:03.029235,"{'trial_id': 27, 'number': 26, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:03.029235', 'datetime_complete': '2025-09-28 04:11:05.664939'}"
28,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:05.677431,"{'trial_id': 28, 'number': 27, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:05.677431', 'datetime_complete': '2025-09-28 04:11:08.329993'}"
29,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:08.342256,"{'trial_id': 29, 'number': 28, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:08.342256', 'datetime_complete': '2025-09-28 04:11:11.041837'}"
30,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:11.052490,"{'trial_id': 30, 'number': 29, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:11.052490', 'datetime_complete': '2025-09-28 04:11:13.701508'}"
31,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:13.713552,"{'trial_id': 31, 'number': 30, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:13.713552', 'datetime_complete': '2025-09-28 04:11:16.427387'}"
32,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:16.437870,"{'trial_id': 32, 'number': 31, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:16.437870', 'datetime_complete': '2025-09-28 04:11:19.135433'}"
33,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:19.147345,"{'trial_id': 33, 'number': 32, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:19.147345', 'datetime_complete': '2025-09-28 04:11:21.781694'}"
34,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:21.792149,"{'trial_id': 34, 'number': 33, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:21.792149', 'datetime_complete': '2025-09-28 04:11:24.588849'}"
35,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:24.599148,"{'trial_id': 35, 'number': 34, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:24.599148', 'datetime_complete': '2025-09-28 04:11:27.324475'}"
36,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:27.334911,"{'trial_id': 36, 'number': 35, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:27.334911', 'datetime_complete': '2025-09-28 04:11:30.011470'}"
37,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:30.022064,"{'trial_id': 37, 'number': 36, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:30.022064', 'datetime_complete': '2025-09-28 04:11:32.741334'}"
38,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:32.754014,"{'trial_id': 38, 'number': 37, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:32.754014', 'datetime_complete': '2025-09-28 04:11:35.365633'}"
39,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:35.377960,"{'trial_id': 39, 'number': 38, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:35.377960', 'datetime_complete': '2025-09-28 04:11:38.134816'}"
40,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:38.145354,"{'trial_id': 40, 'number': 39, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:38.145354', 'datetime_complete': '2025-09-28 04:11:40.828076'}"
41,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:40.840858,"{'trial_id': 41, 'number': 40, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:40.840858', 'datetime_complete': '2025-09-28 04:11:43.417906'}"
42,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:43.430296,"{'trial_id': 42, 'number': 41, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:43.430296', 'datetime_complete': '2025-09-28 04:11:46.102186'}"
43,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:46.115083,"{'trial_id': 43, 'number': 42, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:46.115083', 'datetime_complete': '2025-09-28 04:11:48.890442'}"
44,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:48.902080,"{'trial_id': 44, 'number': 43, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:48.902080', 'datetime_complete': '2025-09-28 04:11:51.565593'}"
45,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:51.578844,"{'trial_id': 45, 'number': 44, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:51.578844', 'datetime_complete': '2025-09-28 04:11:54.272738'}"
46,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:54.284297,"{'trial_id': 46, 'number': 45, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:54.284297', 'datetime_complete': '2025-09-28 04:11:56.914426'}"
47,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:56.925078,"{'trial_id': 47, 'number': 46, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:56.925078', 'datetime_complete': '2025-09-28 04:11:59.526665'}"
48,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:11:59.539314,"{'trial_id': 48, 'number': 47, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:11:59.539314', 'datetime_complete': '2025-09-28 04:12:02.235490'}"
49,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:12:02.245959,"{'trial_id': 49, 'number': 48, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:12:02.245959', 'datetime_complete': '2025-09-28 04:12:04.884308'}"
50,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:12:04.896174,"{'trial_id': 50, 'number': 49, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:12:04.896174', 'datetime_complete': '2025-09-28 04:12:07.595298'}"
51,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:21:07.124531,"{'trial_id': 51, 'number': 50, 'study_id': 1, 'state': 'FAIL', 'datetime_start': '2025-09-28 04:21:07.124531', 'datetime_complete': '2025-09-28 04:21:09.885170'}"
